"","ID","Reason_for_absence","Month_of_absence","Seasons","Transportation_expense","Distance_from_residence_to_work","Service_time","Age","Workload_average_perday","Hit_target","Disciplinary_failure","Son","Social_drinker","Social_smoker","Height","Body_mass_index","emp_abseeism_time_in_hours"
"1","11","26","7","1",0.657692307692308,0.659574468085106,0.521739130434783,0.230769230769231,0.244924855828042,0.769230769230769,"0",2,"1","0",0.7,0.578947368421053,4
"2","36","0","7","1",0,0.170212765957447,0.739130434782609,0.884615384615385,0.244924855828042,0.769230769230769,"1",1,"1","0",0.7,0.631578947368421,0
"3","3","23","7","1",0.234615384615385,0.978723404255319,0.739130434782609,0.423076923076923,0.244924855828042,0.769230769230769,"0",0,"1","0",0.5,0.631578947368421,2
"4","7","7","7","1",0.619230769230769,0,0.565217391304348,0.461538461538462,0.244924855828042,0.769230769230769,"0",2,"1","1",0.3,0.263157894736842,4
"5","11","23","7","1",0.657692307692308,0.659574468085106,0.521739130434783,0.230769230769231,0.244924855828042,0.769230769230769,"0",2,"1","0",0.7,0.578947368421053,2
"6","3","23","7","1",0.234615384615385,0.978723404255319,0.739130434782609,0.423076923076923,0.244924855828042,0.769230769230769,"0",0,"1","0",0.5,0.631578947368421,4.84335997089212
"7","10","22","7","1",0.934615384615385,1,0.0869565217391304,0.0384615384615385,0.244924855828042,0.769230769230769,"0",1,"1","0",0.7,0.421052631578947,8
"8","20","23","7","1",0.546153846153846,0.957446808510638,0.434782608695652,0.346153846153846,0.244924855828042,0.769230769230769,"0",4,"1","0",0.3,0.210526315789474,4
"9","14","19","7","1",0.142307692307692,0.148936170212766,0.565217391304348,0.269230769230769,0.244924855828042,0.769230769230769,"0",2,"1","0",0.7,0.315789473684211,3.23452907361402
"10","1","22","7","1",0.45,0.127659574468085,0.565217391304348,0.384615384615385,0.244924855828042,0.769230769230769,"0",1,"0","0",0.7,0.526315789473684,8
"11","20","1","7","1",0.546153846153846,0.957446808510638,0.434782608695652,0.346153846153846,0.244924855828042,0.769230769230769,"0",4,"1","0",0.3,0.210526315789474,8
"12","20","1","7","1",0.546153846153846,0.957446808510638,0.434782608695652,0.346153846153846,0.244924855828042,0.769230769230769,"0",4,"1","0",0.3,0.210526315789474,8
"13","20","11","7","1",0.546153846153846,0.957446808510638,0.434782608695652,0.346153846153846,0.244924855828042,0.769230769230769,"0",4,"1","0",0.3,0.210526315789474,8
"14","3","11","7","1",0.234615384615385,0.978723404255319,0.739130434782609,0.423076923076923,0.244924855828042,0.769230769230769,"0",0,"1","0",0.5,0.631578947368421,1
"15","3","23","7","1",0.234615384615385,0.978723404255319,0.739130434782609,0.423076923076923,0.244924855828042,0.769230769230769,"0",0,"1","0",0.5,0.631578947368421,4
"16","24","14","7","1",0.492307692307692,0.425531914893617,0.652173913043478,0.538461538461538,0.244924855828042,0.769230769230769,"0",0,"1","0",0.5,0.210526315789474,11.3529779543049
"17","3","23","7","1",0.234615384615385,0.978723404255319,0.739130434782609,0.423076923076923,0.244924855828042,0.769230769230769,"0",0,"1","0",0.5,0.631578947368421,2
"18","3","21","7","1",0.234615384615385,0.978723404255319,0.739130434782609,0.423076923076923,0.244924855828042,0.769230769230769,"0",0,"1","0",0.5,0.631578947368421,8
"19","6","11","7","1",0.273076923076923,0.51063829787234,0.521739130434783,0.230769230769231,0.244924855828042,0.769230769230769,"0",2,"0","0",0.2,0.315789473684211,8
"20","33","23","8","1",0.5,0.425531914893617,0.565217391304348,0.769230769230769,0,0.384615384615385,"0",2,"0","0",0,0.684210526315789,2
"21","18","10","8","1",0.815384615384615,0.234042553191489,0.130434782608696,0.0384615384615385,0,0.384615384615385,"0",0,"0","0",0.565174536276345,0.315789473684211,7.4690318576636
"22","3","11","8","1",0.234615384615385,0.978723404255319,0.739130434782609,0.423076923076923,0,0.384615384615385,"0",0,"1","0",0.5,0.631578947368421,1
